ime,ocena,review
Nike Air Zoom Winflo 4,98,385
Brooks Ghost 11,98,109
Asics Gel Fortitude 7,96,148
Skechers GOrun 600,96,102
Adidas Ultra Boost Uncaged,95,984
Under Armour Charged Bandit 3,95,281
Nike Air Zoom Odyssey,95,231
Adidas Terrex Skychaser GTX,95,395
Adidas Pure Boost Clima,95,274
Saucony Ride 7,95,536
Nike Air Zoom Pegasus 34,95,434
Adidas AlphaBounce CK,95,57
Adidas Tracerocker,95,395
Mizuno Wave Inspire 14,95,66
Mizuno Wave Rider 21,95,259
Asics Gel Kayano 25,95,136
Nike Flex RN 2017,95,733
Adidas Adistar Boost ESM,95,360
Nike Air Zoom Structure 21,95,103
Hoka One One Arahi 2,95,64
On Cloudflow,95,282
The North Face Ultra 109 GTX,94,849
Xero Shoes TerraFlex,94,94
Asics Roadhawk FF,94,74
Adidas Ultra Boost All Terrain,94,219
New Balance 860 v7,94,233
Brooks Revel,94,306
Asics GT 1000 4,94,947
Adidas Pure Boost All Terrain,94,138
Adidas Solar Boost,94,164
Nike Zoom Pegasus Turbo,94,152
Nike Air Zoom Winflo 2,94,214
Mizuno Wave Rider 20,94,330
Altra Escalante,94,156
Puma Ignite EvoKNIT,94,145
Salomon Sense Ride,94,81
Asics Gel Cumulus 20,94,44
Reebok Harmony Road,94,94
Brooks Adrenaline GTS 18,94,825
Adidas Supernova Sequence Boost 9,94,372
Nike Air Zoom Vomero 10,94,150
Nike Air Zoom Pegasus 31,94,238
Nike Air Zoom Pegasus 32,94,282
Saucony Kinvara 9,94,84
Altra Torin 3.0,94,152
Brooks Launch 4,93,982
Mizuno Wave Sky,93,68
Adidas Adizero Boston Boost 6,93,385
Nike Air Zoom Structure 18,93,169
Nike Air Zoom Vomero 12,93,197
New Balance Fresh Foam 1080 v8,93,97
Adidas Ultraboost Uncaged Parley,93,127
Asics Noosa FF,93,86
Brooks Ghost 10,93,1452
Adidas Terrex Swift R GTX,93,615
Adidas Pure Boost ZG,93,589
New Balance 990 v4,93,1584
Salomon Speedcross 4 CS,93,1042
Merrell Trail Glove 4,93,342
Adidas Energy Cloud,93,444
New Balance Fresh Foam Beacon,93,51
New Balance Fresh Foam Vongo,93,218
Adidas Falcon Elite 5,93,60
Brooks Glycerin 16,93,79
On Cloud,93,581
Brooks Glycerin 15,93,517
Nike LunarGlide 7,93,250
Brooks Glycerin 14,93,1490
Adidas Ultra Boost ST,93,600
Adidas Questar Boost,93,354
Under Armour SpeedForm Slingride TRI,93,108
Newton Distance Elite,93,31
Adidas Ultraboost Clima,93,57
Inov-8 Mudclaw 300,93,113
Nike Downshifter 7,93,671
Saucony Breakthru 3,93,86
Saucony Zealot ISO,93,262
Adidas Supernova,93,336
Adidas Duramo 8,93,385
Nike Air Zoom Vomero 11,93,168
Asics DynaFlyte,93,237
Reebok Zig Pulse,93,73
Asics Dynamis,93,25
Nike Flyknit Lunar 3,93,294
Nike LunarStelos,93,331
Asics Gel Quantum 360 Knit,93,705
Asics Gel Kinsei 6,93,350
Vibram FiveFingers V-Trail,92,273
Adidas Climachill Rocket,92,192
Asics Gel Surveyor 3,92,134
Under Armour HOVR Sonic,92,77
Nike Air Zoom Pegasus 33,92,630
Adidas Energy Boost 3,92,680
Nike Air Zoom Pegasus 35,92,484
On Cloudsurfer,92,283
Adidas Terrex Agravic Speed,92,324
Adidas Pure Boost,92,454
Adidas Element Race,92,61
Under Armour SpeedForm Apollo 2,92,96
Adidas Ultra Boost Laceless,92,138
New Balance 1540 v2,92,422
New Balance Vazee Rush v2,92,115
Nike Lunar Apparent,92,57
Adidas Duramo 7,92,322
Asics FuzeX Lyte 2,92,99
Adidas AlphaBounce Beyond,92,148
Hoka One One Clifton 3,92,597
Adidas AlphaBounce RC,92,151
Nike Zoom Fly,92,374
Nike Free Flyknit 4.0,92,907
Nike Air Zoom Span,92,39
Nike Free Train Instinct,92,99
Brooks Launch 5,92,234
Brooks Levitate,92,193
Nike Flex Fury 2,92,310
Nike LunarGlide 9,92,83
Nike FS Lite Run 4,92,209
Nike Air Zoom Elite 7,92,53
Skechers GOrun Forza,92,108
Salomon Speedcross 4,92,2386
Adidas AlphaBounce,92,643
Adidas Ultra Boost,92,1355
Skechers GOrun 5,92,180
Saucony Shadow 6000,92,306
Hoka One One Vanquish 2,92,192
Nike LunarEpic Low Flyknit,92,109
Brooks Adrenaline GTS 17,92,1874
Reebok Zig Pulse SE,92,65
Brooks Ghost 9,92,1688
Nike Revolution 3,92,2968
Under Armour Charged Bandit 2,92,356
Nike Air Zoom Winflo 5,92,104
Reebok Zigwild TR 2,92,320
Asics Gel Quantum 360,92,575
Under Armour Speed Swift 2,92,147
La Sportiva Mutant,92,109
Saucony Omni 14,92,286
Brooks Addiction 12,91,794
Salomon XA Pro 3D GTX,91,416
Nike Free RN 2017,91,1410
Salomon Speedcross 4 GTX,91,1438
Adidas Galaxy Trail,91,580
Asics Gel Venture 5,91,6619
Brooks Cascadia 12,91,86
Under Armour Micro G Assert 6,91,1036
New Balance 1500 v4,91,44
Asics Gel Evate 3,91,88
Asics Gel Quantum 360 4,91,108
Adidas Pure Boost DPR LTD,91,77
Saucony Ride 10,91,156
Adidas Response 3,91,186
Under Armour Micro G Speed Swift 2,91,114
On Cloudflash,91,219
Nike LunarEpic Flyknit Shield,91,22
Saucony Triumph ISO 2,91,697
Mizuno Wave Catalyst 2,91,76
Asics Gel Surveyor 5,91,123
New Balance 880 v7,91,60
Saucony Peregrine 6,91,159
Nike LunarEpic Flyknit,91,290
Merrell Trail Glove 4 E-Mesh,91,44
Nike LunarTempo 2,91,151
Skechers GOrun 400,91,325
Saucony Ride 8,91,522
Saucony Omni 13,91,370
Mizuno Wave Enigma 4,91,50
Puma Carson Runner,91,233
Brooks Transcend 4,91,135
Puma Ignite Disc,91,85
Salomon Sonic Pro,91,3837
Saucony Kinvara 8,91,102
Hoka One One Hupana,91,189
Brooks Beast 18,91,85
La Sportiva Ultra Raptor,91,249
Asics Gel Foundation 13,91,33
Under Armour SpeedForm Fortis,91,119
Adidas Pure Boost DPR,91,82
Altra Timp,91,70
Hoka One One Gaviota,91,314
Hoka One One Arahi,91,266
Merrell Vapor Glove 3,91,323
Adidas AlphaBounce Engineered Mesh,91,320
Nike Zoom All Out Low,91,290
New Balance 890 v6,91,36
Nike LunarGlide 8,91,417
Brooks Pureflow 7,91,76
Nike Air Zoom Pegasus 34 Shield,91,40
Puma Ignite Ultimate,91,73
Salomon Sense ProPulse,91,56
Zoot Del Mar,91,39
Puma Ignite v2,91,80
Skechers GOrun 3,91,85
Brooks Anthem,91,106
Adidas Powerblaze,91,476
Adidas Element Athletic,91,294
Nike Air Zoom Elite 9,91,85
New Balance Vazee Prism v2,91,52
Under Armour Threadborne Slingflex,91,79
Under Armour Charged Bandit,91,149
Under Armour Charged Bandit 4,91,39
Nike LunarGlide 8 Shield,91,224
Mizuno Wave Catalyst,91,237
Asics GT 1000 5,91,800
Salomon Sonic Aero,91,218
Salomon XA Elevate,91,14
Nike Flex Fury,91,433
Under Armour SpeedForm Gemini 3,91,172
Under Armour SpeedForm Europa,91,64
Nike Zoom Fly SP,91,12
Altra Solstice,91,59
Asics Gel Nimbus 18,90,1635
Nike Air Zoom Pegasus 33 Shield,90,368
Vivobarefoot Primus Lux,90,19
Saucony Omni 15,90,226
Brooks Caldera,90,122
Under Armour Thrill 2,90,71
Brooks Pureflow 6,90,403
Altra Lone Peak 3.0,90,580
Saucony Caliber TR,90,87
Merrell All Out Charge,90,238
Hoka One One Tor Ultra Hi WP,90,208
New Balance 1400 v6,90,22
Nike Air Zoom Vomero 13,90,74
Under Armour Fuse FST,90,40
Mizuno Wave Inspire 13,90,224
Inov-8 X-Talon 212,90,156
Adidas Terrex Skychaser,90,342
Saucony Cohesion TR 10,90,1905
Asics Gel Sonoma 3,90,156
Altra Lone Peak 3.5,90,173
Saucony Freedom ISO,90,133
Saucony Cohesion 10,90,1259
Vivobarefoot Stealth II,90,61
Adidas Questar Ride,90,73
Nike Free RN Motion Flyknit 2017,90,1212
Asics Gel Excite 4,90,890
Nike FS Lite Run 3,90,897
Adidas AlphaBounce AMS,90,491
Altra One 2.5,90,349
Hoka One One Bondi 5,90,554
Hoka One One Clayton 2,90,68
Asics FuzeTora,90,13
Under Armour Charged Rebel,90,74
Reebok OSR Grasse Road,90,14
Brooks Addiction 13,90,247
Asics Gel Quantum 180,90,184
Asics Gel Venture 6,90,952
Asics Gel Foundation 12,90,246
Vibram FiveFingers V-Run,90,187
Altra Olympus 3.0,90,23
Hoka One One Clifton 4,90,292
Salomon Sense Pro,90,75
La Sportiva Akasha,90,116
Nike Free RN Commuter 2017,90,445
Brooks Launch 3,90,966
Adidas Element Refine Tricot,90,116
Mizuno Wave Horizon,90,60
Nike Free RN 2018,90,58
Adidas Terrex Agravic,90,197
Nike Free RN Distance 2,90,98
Hoka One One Torrent,90,24
New Balance FuelCore Coast v3,90,110
Salomon X-Mission 3,90,628
Nike LunarConverge,90,176
Nike Zoom All Out Low 2,90,50
Nike Air Max 2015,90,296
Nike Downshifter 6,90,971
Nike LunarEpic Low Flyknit 2,90,287
Under Armour SpeedForm Slingshot,90,79
Asics DynaFlyte 2,90,65
Saucony Cohesion 11,90,322
Asics Gel Excite 3,90,410
Inov-8 Terraclaw 250,90,202
New Balance Fresh Foam Cruz,90,382
Nike Air Max Sequent 3,90,301
Asics Gel Kayano 24 Lite-Show,90,144
Adidas Terrex Trailmaker GTX,90,141
Nike Air Relentless 6,90,292
Adidas Supernova ST,90,484
Puma Ignite Mesh,90,147
Asics Gel Flux 3,90,390
Under Armour Horizon RTT,89,64
Saucony Kinvara 6,89,350
Asics Gel Nimbus 20,89,262
Adidas Solar Glide,89,14
Nike Lunar Skyelux,89,1227
Asics Gel Kenun,89,81
Saucony Kinvara 7,89,317
Saucony Excursion TR 9,89,572
Saucony Kineta Relay,89,838
Skechers GOrun Mojo,89,42
Under Armour Micro G Assert 7,89,274
La Sportiva Akyra,89,32
Inov-8 X-Claw 275,89,24
Adidas Cosmic 2.0 SL,89,232
Puma Ignite Dual,89,92
Altra Lone Peak 3.5 Mid Mesh,89,107
Mizuno Wave Enigma 5,89,234
La Sportiva Bushido,89,270
Saucony Hurricane ISO 2,89,201
